Week,Month,Start_Date,End_Date,Topic,Subtopics,Learning_Materials,Practical_Tasks,Status,Notes,Completed_Date
1,1,2024-11-02,2024-11-08,C# Fundamentals,Variables|Data Types|Control Flow|Methods,Microsoft Learn C# Basics,Calculator App|Number Guessing Game,Not Started,,
2,1,2024-11-09,2024-11-15,C# Fundamentals,Arrays|Collections|Strings,freeCodeCamp C# Tutorial,To-Do List Console App,Not Started,,
3,1,2024-11-16,2024-11-22,OOP Basics,Classes|Objects|Constructors|Properties,Microsoft Learn OOP,Library Management System,Not Started,,
4,1,2024-11-23,2024-11-29,OOP Basics,Methods|Encapsulation|Inheritance,C# Players Guide,Bank Account System|Shape Calculator,Not Started,,
5,2,2024-11-30,2024-12-06,OOP Advanced,Polymorphism|Interfaces,Microsoft Learn Advanced OOP,Payment System Interface,Not Started,,
6,2,2024-12-07,2024-12-13,OOP Advanced,Abstract Classes|Static Members,C# in a Nutshell Ch 3-4,Animal Kingdom System,Not Started,,
7,2,2024-12-14,2024-12-20,C# Advanced Features,Generics|Collections,C# in a Nutshell Ch 7,Generic Repository Pattern,Not Started,,
8,2,2024-12-21,2024-12-27,C# Advanced Features,LINQ|Exception Handling,Microsoft Learn LINQ,Student Management LINQ,Not Started,,
9,3,2024-12-28,2025-01-03,Data Structures,Arrays|Strings|Linked Lists,YouTube DS Playlist,Implement LinkedList from scratch,Not Started,,
10,3,2025-01-04,2025-01-10,Data Structures,Stacks|Queues,Data Structures Tutorial,Implement Stack & Queue,Not Started,,
11,3,2025-01-11,2025-01-17,Data Structures,Trees|BST,Abdul Bari Algorithms,Implement Binary Tree & BST,Not Started,,
12,3,2025-01-18,2025-01-24,Data Structures,Hash Tables|Graphs,Data Structures in C#,Implement HashTable & Graph,Not Started,,
13,4,2025-01-25,2025-01-31,Algorithms,Sorting Algorithms,CLRS Ch 2-7,Implement QuickSort|MergeSort,Not Started,,
14,4,2025-02-01,2025-02-07,Algorithms,Searching|Binary Search,Abdul Bari Playlist,Binary Search variations,Not Started,,
15,4,2025-02-08,2025-02-14,Algorithms,Recursion|Backtracking,Algorithm Design Manual,10 Recursion problems,Not Started,,
16,4,2025-02-15,2025-02-21,Algorithms,Dynamic Programming,CLRS DP Chapter,5 DP problems (Easy-Medium),Not Started,,
17,5,2025-02-22,2025-02-28,Problem Solving,Arrays & Hashing,LeetCode Easy,20 Easy problems,Not Started,,
18,5,2025-03-01,2025-03-07,Problem Solving,Two Pointers|Sliding Window,NeetCode Roadmap,15 Easy problems,Not Started,,
19,5,2025-03-08,2025-03-14,Problem Solving,Binary Search|Linked Lists,LeetCode Medium,15 Easy problems,Not Started,,
20,5,2025-03-15,2025-03-21,Problem Solving,Trees|DFS|BFS,NeetCode Trees,10 Medium problems,Not Started,,
21,6,2025-03-22,2025-03-28,Problem Solving,Graphs|Heaps,LeetCode Explore,15 Medium problems,Not Started,,
22,6,2025-03-29,2025-04-04,Problem Solving,Dynamic Programming,NeetCode DP,15 Medium problems,Not Started,,
23,6,2025-04-05,2025-04-11,Problem Solving,Advanced Topics,LeetCode Medium/Hard,10 Medium + 5 Hard,Not Started,,
24,6,2025-04-12,2025-04-18,Problem Solving,Mock Interviews,Pramp|Interviewing.io,5 Mock interviews,Not Started,,
25,7,2025-04-19,2025-04-25,SQL Server,SQL Basics|SELECT|WHERE,SQLBolt|Kudvenkat SQL,50 Basic queries,Not Started,,
26,7,2025-04-26,2025-05-02,SQL Server,JOINs|Aggregate Functions,SQL Tutorial Kudvenkat,School Database Design,Not Started,,
27,7,2025-05-03,2025-05-09,SQL Server,Subqueries|Indexes|Stored Procedures,Microsoft SQL Docs,E-commerce Database Design,Not Started,,
28,7,2025-05-10,2025-05-16,SQL Server,Triggers|Transactions|Performance,SQL Server Performance,Complex queries optimization,Not Started,,
29,8,2025-05-17,2025-05-23,Entity Framework Core,EF Core Setup|DbContext,EF Core Documentation,Blog System DB Model,Not Started,,
30,8,2025-05-24,2025-05-30,Entity Framework Core,Code-First Migrations|LINQ to Entities,Kudvenkat EF Core,HR System with EF Core,Not Started,,
31,8,2025-05-31,2025-06-06,Entity Framework Core,Relationships|Loading Strategies,Microsoft Learn EF Core,Complex relationships practice,Not Started,,
32,8,2025-06-07,2025-06-13,Database Advanced,Normalization|Dapper|MongoDB,Database Design Principles,Compare EF Core vs Dapper,Not Started,,
33,9,2025-06-14,2025-06-20,ASP.NET Core Basics,.NET Architecture|Dependency Injection,Microsoft ASP.NET Docs,Simple DI Console App,Not Started,,
34,9,2025-06-21,2025-06-27,ASP.NET Core Basics,Configuration|Middleware|Routing,ASP.NET Core Tutorial,Custom Middleware Pipeline,Not Started,,
35,9,2025-06-28,2025-07-04,ASP.NET Core Basics,Logging with Serilog,Serilog Documentation,Add logging to previous app,Not Started,,
36,9,2025-07-05,2025-07-11,ASP.NET Core Review,Review all basics,ASP.NET Core Workshop,Mini project with all concepts,Not Started,,
37,10,2025-07-12,2025-07-18,ASP.NET Core Web API,RESTful API Design|Controllers,Microsoft Web API Tutorial,Simple CRUD API (Products),Not Started,,
38,10,2025-07-19,2025-07-25,ASP.NET Core Web API,Model Binding|Validation|DTOs,AutoMapper Documentation,Add DTOs & validation,Not Started,,
39,10,2025-07-26,2025-08-01,ASP.NET Core Web API,Error Handling|Custom Middleware,Error Handling Best Practices,Global error handling,Not Started,,
40,10,2025-08-02,2025-08-08,ASP.NET Core Web API,Authentication with JWT,Nick Chapsas JWT Tutorial,JWT Authentication implementation,Not Started,,
41,11,2025-08-09,2025-08-15,ASP.NET Core Web API,Authorization|Roles|Policies,Microsoft Authorization Docs,Role-based & Policy-based auth,Not Started,,
42,11,2025-08-16,2025-08-22,ASP.NET Core Web API,Swagger|API Versioning,Swagger Documentation,Add Swagger & versioning,Not Started,,
43,11,2025-08-23,2025-08-29,ASP.NET Core Web API,CORS|Rate Limiting,ASP.NET Security,Implement CORS & rate limiting,Not Started,,
44,11,2025-08-30,2025-09-05,ASP.NET Core Web API,Advanced Features,Filtering|Pagination|Sorting,Complete E-commerce API,Not Started,,
45,12,2025-09-06,2025-09-12,ASP.NET Core MVC,MVC Pattern|Razor Views,ASP.NET MVC Tutorial,Simple MVC App,Not Started,,
46,12,2025-09-13,2025-09-19,ASP.NET Core MVC,Tag Helpers|Partial Views,Microsoft MVC Docs,E-commerce Admin Dashboard,Not Started,,
47,12,2025-09-20,2025-09-26,ASP.NET Core MVC,Form Handling|Validation,MVC Forms Tutorial,Complete Admin Panel,Not Started,,
48,12,2025-09-27,2025-10-03,ASP.NET Core Review,Full Stack Review,Build complete app,MVC + API Integration,Not Started,,
49,13,2025-10-04,2025-10-10,Software Testing,Unit Testing Fundamentals|xUnit,IAmTimCorey Testing Tutorial,First unit tests,Not Started,,
50,13,2025-10-11,2025-10-17,Software Testing,MOQ|Mocking Dependencies,MOQ Documentation,Mock services & repositories,Not Started,,
51,13,2025-10-18,2025-10-24,Software Testing,Integration Testing|Test Coverage,Microsoft Testing Docs,Integration tests for API,Not Started,,
52,13,2025-10-25,2025-10-31,Software Testing,TDD Practice,The Art of Unit Testing,TDD new service from scratch,Not Started,,
53,14,2025-11-01,2025-11-07,Major Project #1,Planning & Setup,Task Management System,Setup solution structure,Not Started,,
54,14,2025-11-08,2025-11-14,Major Project #1,Core Features Implementation,Build core features,User auth & task CRUD,Not Started,,
55,14,2025-11-15,2025-11-21,Major Project #1,Advanced Features,Advanced functionality,Search|Filter|File uploads,Not Started,,
56,14,2025-11-22,2025-11-28,Major Project #1,Testing & Documentation,Complete testing & docs,70%+ coverage & README,Not Started,,
57,15,2025-11-29,2025-12-05,Design Patterns,Creational Patterns,Head First Design Patterns,Singleton|Factory|Builder in C#,Not Started,,
58,15,2025-12-06,2025-12-12,Design Patterns,Structural Patterns,Design Patterns Book,Repository|Decorator|Adapter,Not Started,,
59,15,2025-12-13,2025-12-19,Design Patterns,Behavioral Patterns,Christopher Okhravi YouTube,Strategy|Observer|Command,Not Started,,
60,15,2025-12-20,2025-12-26,Design Patterns,Patterns in Practice,Refactoring Guru,Refactor project with patterns,Not Started,,
61,16,2025-12-27,2026-01-02,SOLID Principles,SRP & OCP,Clean Code Book,Apply SRP & OCP,Not Started,,
62,16,2026-01-03,2026-01-09,SOLID Principles,LSP & ISP,Kudvenkat SOLID Playlist,Apply LSP & ISP,Not Started,,
63,16,2026-01-10,2026-01-16,SOLID Principles,DIP & Review,SOLID Principles Workshop,Dependency Inversion,Not Started,,
64,16,2026-01-17,2026-01-23,SOLID Principles,Refactoring Practice,Code review previous projects,Refactor all projects with SOLID,Not Started,,
65,17,2026-01-24,2026-01-30,Clean Architecture,Layered Architecture Basics,Clean Architecture Book,Understand layers separation,Not Started,,
66,17,2026-01-31,2026-02-06,Clean Architecture,Clean Architecture Structure,Jason Taylor Clean Arch,Setup Clean Arch solution,Not Started,,
67,17,2026-02-07,2026-02-13,Clean Architecture,Domain-Driven Design Basics,DDD Fundamentals,Design Domain models,Not Started,,
68,17,2026-02-14,2026-02-20,Clean Architecture,Dependency Flow,Uncle Bob Clean Arch,Implement proper dependencies,Not Started,,
69,18,2026-02-21,2026-02-27,CQRS & MediatR,CQRS Fundamentals,CodeOpinion CQRS,Understand CQRS pattern,Not Started,,
70,18,2026-02-28,2026-03-06,CQRS & MediatR,MediatR Setup,MediatR GitHub,Setup MediatR in project,Not Started,,
71,18,2026-03-07,2026-03-13,CQRS & MediatR,Commands & Queries,MediatR Tutorial,Implement Commands & Queries,Not Started,,
72,18,2026-03-14,2026-03-20,CQRS & MediatR,Validation Pipeline,FluentValidation,Blog System with Clean Arch + CQRS,Not Started,,
73,19,2026-03-21,2026-03-27,Docker,Docker Fundamentals,TechWorld with Nana,Install & learn Docker basics,Not Started,,
74,19,2026-03-28,2026-04-03,Docker,Dockerfile for .NET,Microsoft Docker Docs,Dockerize .NET application,Not Started,,
75,19,2026-04-04,2026-04-10,Docker,Docker Compose,Docker Compose Tutorial,Multi-container app,Not Started,,
76,19,2026-04-11,2026-04-17,Docker,Container Best Practices,Docker production best practices,Optimize Docker images,Not Started,,
77,20,2026-04-18,2026-04-24,Microservices,Microservices Fundamentals,Microsoft Microservices eBook,Understand microservices,Not Started,,
78,20,2026-04-25,2026-05-01,Microservices,Service Communication,gRPC & REST comparison,Implement service communication,Not Started,,
79,20,2026-05-02,2026-05-08,Microservices,API Gateway & RabbitMQ,Ocelot & RabbitMQ tutorial,Setup API Gateway & messaging,Not Started,,
80,20,2026-05-09,2026-05-15,Microservices,Event-Driven Architecture,Les Jackson Microservices,E-commerce Microservices Project,Not Started,,
81,21,2026-05-16,2026-05-22,CI/CD,Git Advanced,Git branching strategies,Master GitFlow,Not Started,,
82,21,2026-05-23,2026-05-29,CI/CD,GitHub Actions,GitHub Actions .NET Tutorial,Create first pipeline,Not Started,,
83,21,2026-05-30,2026-06-05,CI/CD,Azure DevOps,Azure Pipelines Documentation,Setup Azure DevOps pipeline,Not Started,,
84,21,2026-06-06,2026-06-12,CI/CD,Complete Automation,Full CI/CD implementation,Automate all projects,Not Started,,
85,22,2026-06-13,2026-06-19,Azure Cloud,Azure Fundamentals|App Service,Microsoft Learn Azure,Deploy first app to Azure,Not Started,,
86,22,2026-06-20,2026-06-26,Azure Cloud,Azure SQL|Storage|Functions,Azure Services Tutorial,Use Azure SQL & Blob Storage,Not Started,,
87,22,2026-06-27,2026-07-03,Azure Cloud,Azure Service Bus|Key Vault,Azure Integration Services,Implement messaging & secrets,Not Started,,
88,22,2026-07-04,2026-07-10,Azure Cloud,Monitoring & Optimization,Application Insights,Deploy microservices to Azure,Not Started,,
89,23,2026-07-11,2026-07-17,Advanced .NET,Performance Optimization,Pro .NET Performance,Use BenchmarkDotNet,Not Started,,
90,23,2026-07-18,2026-07-24,Advanced .NET,Caching with Redis,Redis Documentation,Implement caching strategies,Not Started,,
91,23,2026-07-25,2026-07-31,Advanced .NET,SignalR Real-time|Hangfire Jobs,SignalR & Hangfire tutorials,Real-time notifications & jobs,Not Started,,
92,23,2026-08-01,2026-08-07,Advanced .NET,GraphQL & Security,HotChocolate|OWASP Top 10,Implement GraphQL & security,Not Started,,
93,24,2026-08-08,2026-08-14,Capstone Project,Planning & Architecture,Social Media Platform,Design complete architecture,Not Started,,
94,24,2026-08-15,2026-08-21,Capstone Project,Core Services Implementation,Microservices development,Implement core services,Not Started,,
95,24,2026-08-22,2026-08-28,Capstone Project,Advanced Features & Integration,Real-time chat & notifications,Complete all features,Not Started,,
96,24,2026-08-29,2026-09-04,Capstone Project,Testing|Deployment|Documentation,Production deployment,Deploy & document project,Not Started,,
